comentario,ciudad,id,nombre,edad,género,categoría_del_problema,nivel_de_urgencia,fecha_del_reporte,acceso_a_internet,atención_previa_del_gobierno,zona_rural
faltan médicos en el centro de salud.,Manizales,1702,Camilo,77.0,,Medio Ambiente,Urgente,2023-05-04,0,1,1
la contaminación del río está aumentando.,Cartagena,1703,Juan,39.0,Otro,Educación,Urgente,2024-11-05,0,1,1
queremos más presencia policial.,Bucaramanga,1704,Carlos,42.0,F,Seguridad,No urgente,2023-11-17,0,1,1
la contaminación del río está aumentando.,Manizales,1705,Pedro,55.0,M,Medio Ambiente,No urgente,2024-10-09,1,1,1
no hay suficientes escuelas públicas.,Cúcuta,1706,Juan,54.0,Otro,Salud,No urgente,2024-07-08,1,1,0
la contaminación del río está aumentando.,Bucaramanga,1707,Sofía,32.0,F,Salud,No urgente,2024-05-03,1,1,1
faltan médicos en el centro de salud.,Santa Marta,1708,Ana,47.0,F,Salud,No urgente,2024-10-12,0,0,1
faltan médicos en el centro de salud.,Cali,1709,Jorge,69.0,M,Salud,No urgente,2023-02-14,0,0,1
falta agua potable en varias casas.,Cartagena,1710,Pedro,22.0,M,Educación,No urgente,2024-03-31,1,1,0
,Pereira,1711,Jorge,55.0,F,Medio Ambiente,No urgente,2023-12-25,1,0,0
hay problemas con la recolección de basura.,Pereira,1712,Laura,19.0,M,Educación,No urgente,2023-11-18,0,1,0
no hay suficientes escuelas públicas.,Cúcuta,1713,Camilo,62.0,M,Medio Ambiente,No urgente,2023-11-27,0,1,1
hay problemas con la recolección de basura.,Barranquilla,1714,Carlos,64.0,F,Seguridad,No urgente,2023-11-04,0,1,0
no tenemos centros culturales ni bibliotecas.,Medellín,1715,Sofía,23.0,M,Salud,No urgente,2023-09-12,1,0,1
faltan médicos en el centro de salud.,Cúcuta,1716,Juan,74.0,F,Educación,Urgente,2023-01-28,0,0,0
no tenemos centros culturales ni bibliotecas.,Barranquilla,1717,Ana,69.0,M,Educación,No urgente,2024-05-28,0,0,1
las basuras no se recogen a tiempo.,Cartagena,1718,Pedro,31.0,Otro,Salud,Urgente,2023-12-27,1,0,1
no tenemos centros culturales ni bibliotecas.,Cúcuta,1719,Valentina,52.0,Otro,Seguridad,Urgente,2023-11-26,1,0,0
no tenemos centros culturales ni bibliotecas.,Bucaramanga,1720,Valentina,,F,Salud,Urgente,2023-10-17,0,0,1
falta agua potable en varias casas.,Barranquilla,1721,Jorge,78.0,M,Salud,Urgente,2023-06-25,1,1,1
no hay suficientes escuelas públicas.,Cali,1722,Camilo,55.0,M,Medio Ambiente,Urgente,2023-03-19,0,0,0
faltan médicos en el centro de salud.,Pereira,1723,Camilo,28.0,F,Educación,No urgente,2024-01-03,1,0,1
necesitamos más acceso a internet en la zona.,Pereira,1724,Jorge,,F,Salud,Urgente,2024-08-09,0,1,1
la contaminación del río está aumentando.,Bucaramanga,1725,María,19.0,F,Seguridad,Urgente,2024-11-29,0,0,0
,Cúcuta,1726,Camilo,68.0,Otro,Salud,Urgente,2024-05-07,0,0,1
necesitamos más acceso a internet en la zona.,Barranquilla,1727,Ana,49.0,F,Educación,Urgente,2023-06-16,1,0,0
las calles están muy oscuras y peligrosas.,Medellín,1728,Carlos,36.0,Otro,Salud,Urgente,2024-02-19,0,1,0
las basuras no se recogen a tiempo.,Medellín,1729,Laura,19.0,Otro,Medio Ambiente,No urgente,2024-10-21,0,1,1
,Cartagena,1730,Laura,,Otro,Educación,No urgente,2023-08-29,1,1,0
las basuras no se recogen a tiempo.,Bogotá,1731,Ana,44.0,M,Educación,Urgente,2024-09-15,1,0,1
necesitamos más acceso a internet en la zona.,Santa Marta,1732,Valentina,51.0,M,Salud,No urgente,2024-06-02,0,0,0
las calles están muy oscuras y peligrosas.,Manizales,1733,Juan,45.0,M,Medio Ambiente,Urgente,2024-10-24,1,0,1
las basuras no se recogen a tiempo.,Cali,1734,Valentina,62.0,F,Medio Ambiente,Urgente,2023-06-30,1,0,1
falta agua potable en varias casas.,Cali,1735,Laura,35.0,M,Seguridad,No urgente,2023-02-09,1,1,0
,Cúcuta,1736,Pedro,76.0,Otro,Seguridad,Urgente,2024-07-26,1,1,1
queremos más presencia policial.,Cúcuta,1737,Valentina,22.0,Otro,Salud,Urgente,2024-04-02,0,1,0
no hay suficientes escuelas públicas.,Pereira,1738,Carlos,36.0,M,Seguridad,No urgente,2024-08-28,1,1,0
las calles están muy oscuras y peligrosas.,Santa Marta,1739,Ana,68.0,M,Educación,No urgente,2024-08-21,1,0,0
faltan médicos en el centro de salud.,Cali,1740,Laura,,,Salud,No urgente,2023-05-21,0,0,0
no tenemos centros culturales ni bibliotecas.,Pereira,1741,Ana,21.0,M,Seguridad,Urgente,2023-02-05,0,1,1
las calles están muy oscuras y peligrosas.,Cúcuta,1742,Juan,71.0,M,Salud,Urgente,2023-02-08,1,0,1
hay problemas con la recolección de basura.,Manizales,1743,Jorge,38.0,M,Salud,No urgente,2024-01-02,1,0,1
necesitamos más acceso a internet en la zona.,Bucaramanga,1744,Sofía,70.0,M,Salud,Urgente,2023-12-21,1,0,1
faltan médicos en el centro de salud.,Bogotá,1745,Ana,74.0,Otro,Salud,Urgente,2023-04-25,0,0,0
hay problemas con la recolección de basura.,Bogotá,1746,María,31.0,F,Educación,Urgente,2024-11-18,1,0,0
falta agua potable en varias casas.,Medellín,1747,Carlos,76.0,Otro,Seguridad,Urgente,2024-02-02,0,1,0
hay problemas con la recolección de basura.,Bucaramanga,1748,Valentina,40.0,Otro,Salud,Urgente,2024-03-15,0,0,0
hay problemas con la recolección de basura.,Cali,1749,Ana,31.0,Otro,Salud,No urgente,2023-10-18,1,0,1
hay problemas con la recolección de basura.,Medellín,1750,Juan,72.0,Otro,Educación,Urgente,2024-03-02,0,0,0
hay problemas con la recolección de basura.,Cartagena,1751,Jorge,66.0,F,Seguridad,Urgente,2023-03-28,0,0,1
falta agua potable en varias casas.,Cali,1752,Valentina,31.0,M,Medio Ambiente,Urgente,2023-09-17,1,1,0
falta agua potable en varias casas.,Barranquilla,1753,Juan,74.0,M,Salud,No urgente,2023-10-05,1,0,0
necesitamos más acceso a internet en la zona.,Medellín,1754,Juan,23.0,Otro,Educación,No urgente,2024-07-04,0,1,0
faltan médicos en el centro de salud.,Pereira,1755,Jorge,25.0,F,Seguridad,No urgente,2024-09-30,1,1,1
queremos más presencia policial.,Barranquilla,1756,Jorge,25.0,F,Salud,No urgente,2024-01-10,1,1,0
faltan médicos en el centro de salud.,Pereira,1757,Sofía,44.0,F,Seguridad,No urgente,2023-08-27,1,0,0
faltan médicos en el centro de salud.,Bogotá,1758,Valentina,19.0,Otro,Salud,Urgente,2023-01-16,0,0,1
las calles están muy oscuras y peligrosas.,Santa Marta,1759,Ana,60.0,F,Salud,Urgente,2023-05-06,1,0,0
no hay suficientes escuelas públicas.,Medellín,1760,Camilo,44.0,M,Salud,Urgente,2024-06-10,0,0,1
las basuras no se recogen a tiempo.,Medellín,1761,Camilo,30.0,,Educación,No urgente,2024-04-18,0,1,1
no hay suficientes escuelas públicas.,Bogotá,1762,María,61.0,Otro,Seguridad,No urgente,2023-04-26,1,0,0
la contaminación del río está aumentando.,Bogotá,1763,Ana,49.0,Otro,Seguridad,Urgente,2024-09-29,1,1,1
no hay suficientes escuelas públicas.,,1764,Valentina,42.0,M,Seguridad,Urgente,2024-05-21,0,1,1
no hay suficientes escuelas públicas.,Cartagena,1765,Camilo,63.0,Otro,Medio Ambiente,Urgente,2023-09-29,1,1,1
,Cartagena,1766,Juan,55.0,Otro,Salud,Urgente,2024-06-11,1,1,1
queremos más presencia policial.,Manizales,1767,Jorge,19.0,,Salud,No urgente,2024-01-29,1,1,1
no hay suficientes escuelas públicas.,Manizales,1768,Camilo,60.0,Otro,Seguridad,Urgente,2023-10-31,1,1,1
hay problemas con la recolección de basura.,Bogotá,1769,Pedro,16.0,Otro,Seguridad,Urgente,2024-03-19,0,1,1
las calles están muy oscuras y peligrosas.,Medellín,1770,Ana,56.0,M,Educación,Urgente,2023-05-19,0,0,1
faltan médicos en el centro de salud.,Santa Marta,1771,Laura,58.0,Otro,Medio Ambiente,Urgente,2023-09-17,0,1,0
no tenemos centros culturales ni bibliotecas.,Barranquilla,1772,Sofía,77.0,M,Seguridad,No urgente,2023-08-09,1,1,0
queremos más presencia policial.,Cartagena,1773,Valentina,46.0,F,Medio Ambiente,Urgente,2023-05-17,0,1,1
faltan médicos en el centro de salud.,Santa Marta,1774,Carlos,69.0,M,Educación,No urgente,2024-08-13,1,1,1
la contaminación del río está aumentando.,Manizales,1775,Pedro,23.0,M,Educación,Urgente,2023-11-04,1,0,1
faltan médicos en el centro de salud.,Santa Marta,1776,Ana,22.0,F,Medio Ambiente,Urgente,2024-02-06,1,0,0
las calles están muy oscuras y peligrosas.,Barranquilla,1777,Camilo,29.0,M,Educación,Urgente,2024-02-08,1,0,1
las calles están muy oscuras y peligrosas.,Cali,1778,Ana,51.0,Otro,Educación,Urgente,2023-05-03,0,0,1
las basuras no se recogen a tiempo.,Pereira,1779,Ana,16.0,M,Salud,No urgente,2024-03-14,1,0,1
las basuras no se recogen a tiempo.,Bucaramanga,1780,Jorge,59.0,Otro,Salud,Urgente,2023-07-29,1,1,1
la contaminación del río está aumentando.,,1781,Pedro,72.0,M,Educación,No urgente,2024-08-07,1,1,1
no tenemos centros culturales ni bibliotecas.,Cúcuta,1782,Laura,17.0,M,Educación,Urgente,2023-11-05,0,0,0
las calles están muy oscuras y peligrosas.,Manizales,1783,María,76.0,Otro,Seguridad,Urgente,2023-02-22,0,1,0
,Cúcuta,1784,Sofía,61.0,F,Medio Ambiente,No urgente,2023-11-16,1,0,0
las basuras no se recogen a tiempo.,Manizales,1785,Sofía,48.0,Otro,Salud,No urgente,2024-06-16,1,1,0
no tenemos centros culturales ni bibliotecas.,Bogotá,1786,Pedro,57.0,M,Seguridad,No urgente,2023-04-29,1,1,0
queremos más presencia policial.,Bogotá,1787,Ana,73.0,M,Seguridad,No urgente,2024-10-20,0,1,1
hay problemas con la recolección de basura.,Cúcuta,1788,Ana,33.0,Otro,Salud,Urgente,2023-03-05,0,1,0
hay problemas con la recolección de basura.,Bucaramanga,1789,Pedro,21.0,M,Seguridad,No urgente,2023-08-13,1,1,0
hay problemas con la recolección de basura.,Bogotá,1790,Laura,45.0,M,Seguridad,Urgente,2023-08-03,0,1,0
necesitamos más acceso a internet en la zona.,Cúcuta,1791,Sofía,54.0,F,Salud,Urgente,2023-08-19,0,1,0
no hay suficientes escuelas públicas.,Cali,1792,Valentina,27.0,M,Educación,Urgente,2023-01-26,1,0,0
faltan médicos en el centro de salud.,Medellín,1793,Laura,20.0,F,Salud,Urgente,2024-02-20,1,0,1
la contaminación del río está aumentando.,Pereira,1794,Pedro,,Otro,Educación,Urgente,2023-01-08,0,1,0
no tenemos centros culturales ni bibliotecas.,Medellín,1795,Carlos,72.0,M,Salud,Urgente,2024-04-28,0,0,1
faltan médicos en el centro de salud.,Pereira,1796,Laura,22.0,F,Seguridad,No urgente,2024-02-13,1,1,1
necesitamos más acceso a internet en la zona.,Bucaramanga,1797,Juan,28.0,F,Educación,Urgente,2023-03-17,0,0,1
faltan médicos en el centro de salud.,Pereira,1798,Laura,80.0,M,Seguridad,No urgente,2023-09-05,1,0,0
la contaminación del río está aumentando.,Manizales,1799,Pedro,21.0,M,Medio Ambiente,No urgente,2024-09-08,1,0,1
falta agua potable en varias casas.,Cali,1800,Laura,37.0,M,Salud,No urgente,2023-07-27,0,0,1
queremos más presencia policial.,Manizales,1801,Juan,47.0,,Educación,No urgente,2023-11-21,0,0,0
la contaminación del río está aumentando.,Manizales,1802,Valentina,78.0,F,Medio Ambiente,No urgente,2024-11-23,1,0,0
faltan médicos en el centro de salud.,Pereira,1803,Pedro,55.0,M,Educación,Urgente,2024-09-02,1,0,0
queremos más presencia policial.,Cúcuta,1804,Carlos,62.0,M,Educación,No urgente,2023-11-22,0,1,1
no tenemos centros culturales ni bibliotecas.,Medellín,1805,Camilo,25.0,F,Salud,No urgente,2024-03-12,0,1,1
falta agua potable en varias casas.,Cúcuta,1806,Carlos,57.0,M,Seguridad,No urgente,2023-08-01,0,1,1
las calles están muy oscuras y peligrosas.,Cali,1807,Valentina,63.0,Otro,Salud,Urgente,2024-07-21,1,1,1
hay problemas con la recolección de basura.,Manizales,1808,María,29.0,M,Salud,Urgente,2023-07-25,0,0,1
la contaminación del río está aumentando.,Santa Marta,1809,Jorge,65.0,Otro,Salud,No urgente,2023-10-01,0,1,1
las calles están muy oscuras y peligrosas.,,1810,María,42.0,F,Salud,No urgente,2023-01-23,1,0,1
faltan médicos en el centro de salud.,Pereira,1811,Laura,62.0,M,Medio Ambiente,Urgente,2023-04-18,1,1,1
queremos más presencia policial.,Santa Marta,1812,Pedro,78.0,F,Medio Ambiente,No urgente,2023-10-22,0,1,1
falta agua potable en varias casas.,Cartagena,1813,Camilo,,M,Salud,Urgente,2023-11-11,1,0,0
falta agua potable en varias casas.,Cartagena,1814,Ana,66.0,M,Medio Ambiente,No urgente,2024-09-17,1,0,1
no hay suficientes escuelas públicas.,Medellín,1815,María,66.0,M,Educación,No urgente,2024-05-11,1,1,1
,Bogotá,1816,Jorge,57.0,M,Medio Ambiente,No urgente,2023-11-19,1,1,1
,Manizales,1817,Laura,29.0,Otro,Educación,No urgente,2023-07-31,1,0,0
queremos más presencia policial.,Santa Marta,1818,María,40.0,F,Seguridad,Urgente,2023-12-23,0,1,0
hay problemas con la recolección de basura.,Bucaramanga,1819,Ana,53.0,Otro,Seguridad,Urgente,2024-02-16,1,0,1
la contaminación del río está aumentando.,Barranquilla,1820,María,49.0,Otro,Seguridad,No urgente,2024-07-09,0,0,1
faltan médicos en el centro de salud.,Santa Marta,1821,María,18.0,Otro,Medio Ambiente,No urgente,2023-01-21,1,1,0
la contaminación del río está aumentando.,Cartagena,1822,Pedro,48.0,M,Seguridad,Urgente,2024-03-08,0,0,0
no hay suficientes escuelas públicas.,Cartagena,1823,Jorge,63.0,F,Seguridad,Urgente,2023-02-08,0,1,1
,Manizales,1824,María,72.0,Otro,Salud,Urgente,2024-01-14,1,0,1
no hay suficientes escuelas públicas.,,1825,Laura,15.0,Otro,Educación,No urgente,2024-08-14,1,0,1
,Cartagena,1826,Camilo,36.0,Otro,Seguridad,No urgente,2023-05-16,1,0,1
no tenemos centros culturales ni bibliotecas.,Medellín,1827,Laura,29.0,,Salud,Urgente,2023-03-25,1,0,0
hay problemas con la recolección de basura.,Manizales,1828,Juan,62.0,F,Educación,Urgente,2024-09-20,1,1,0
no tenemos centros culturales ni bibliotecas.,Cúcuta,1829,Pedro,73.0,M,Seguridad,Urgente,2023-06-21,0,1,1
no tenemos centros culturales ni bibliotecas.,Bucaramanga,1830,Jorge,72.0,Otro,Medio Ambiente,Urgente,2024-09-17,0,1,0
falta agua potable en varias casas.,Manizales,1831,Sofía,77.0,M,Salud,Urgente,2023-10-14,0,0,1
,Bogotá,1832,Carlos,,Otro,Medio Ambiente,Urgente,2023-03-15,1,1,0
hay problemas con la recolección de basura.,Bogotá,1833,Carlos,40.0,,Seguridad,No urgente,2024-05-10,0,1,0
queremos más presencia policial.,Barranquilla,1834,Carlos,40.0,M,Seguridad,Urgente,2023-10-29,1,1,1
,Bogotá,1835,Carlos,63.0,F,Medio Ambiente,Urgente,2024-05-13,1,0,0
falta agua potable en varias casas.,Bucaramanga,1836,Carlos,73.0,Otro,Medio Ambiente,No urgente,2023-03-27,1,1,1
,Manizales,1837,María,64.0,,Medio Ambiente,No urgente,2023-10-22,1,1,1
falta agua potable en varias casas.,Cali,1838,Sofía,68.0,Otro,Salud,Urgente,2023-12-22,1,0,0
queremos más presencia policial.,Santa Marta,1839,Valentina,16.0,F,Seguridad,No urgente,2024-06-27,1,1,1
no tenemos centros culturales ni bibliotecas.,Pereira,1840,Laura,72.0,F,Salud,No urgente,2024-02-21,0,1,1
la contaminación del río está aumentando.,Bucaramanga,1841,Camilo,35.0,F,Seguridad,Urgente,2023-08-21,1,0,1
,Bogotá,1842,Sofía,39.0,M,Seguridad,Urgente,2023-01-26,0,1,1
falta agua potable en varias casas.,Santa Marta,1843,María,24.0,F,Seguridad,Urgente,2024-06-17,1,0,0
falta agua potable en varias casas.,Cartagena,1844,Sofía,22.0,Otro,Salud,No urgente,2024-05-21,0,1,0
hay problemas con la recolección de basura.,Bogotá,1845,Juan,69.0,F,Seguridad,Urgente,2024-09-24,1,0,0
falta agua potable en varias casas.,Manizales,1846,Carlos,71.0,Otro,Medio Ambiente,No urgente,2024-07-03,1,0,1
las calles están muy oscuras y peligrosas.,Santa Marta,1847,Valentina,63.0,Otro,Seguridad,Urgente,2023-09-09,1,0,1
no tenemos centros culturales ni bibliotecas.,Cúcuta,1848,Camilo,20.0,M,Seguridad,Urgente,2023-09-29,0,1,0
necesitamos más acceso a internet en la zona.,Pereira,1849,Juan,43.0,F,Seguridad,Urgente,2024-10-29,0,0,0
no hay suficientes escuelas públicas.,Bucaramanga,1850,Ana,18.0,M,Salud,No urgente,2024-04-06,0,1,1
queremos más presencia policial.,Manizales,1851,Ana,71.0,F,Educación,No urgente,2023-12-05,0,1,1
la contaminación del río está aumentando.,Bucaramanga,1852,Pedro,61.0,F,Salud,Urgente,2023-03-11,0,1,1
necesitamos más acceso a internet en la zona.,Pereira,1853,Juan,28.0,Otro,Educación,Urgente,2023-05-14,0,1,1
no hay suficientes escuelas públicas.,Manizales,1854,Juan,49.0,Otro,Salud,Urgente,2024-05-19,1,1,0
hay problemas con la recolección de basura.,Cali,1855,Valentina,,,Educación,Urgente,2024-11-19,0,1,1
la contaminación del río está aumentando.,Santa Marta,1856,María,62.0,Otro,Educación,No urgente,2024-10-13,0,0,1
no hay suficientes escuelas públicas.,Cali,1857,Ana,51.0,Otro,Seguridad,Urgente,2023-08-22,0,1,1
falta agua potable en varias casas.,Manizales,1858,Juan,41.0,F,Educación,No urgente,2023-10-14,0,1,1
no tenemos centros culturales ni bibliotecas.,Bogotá,1859,Sofía,47.0,Otro,Medio Ambiente,Urgente,2023-01-28,0,0,0
necesitamos más acceso a internet en la zona.,Pereira,1860,Pedro,15.0,Otro,Seguridad,No urgente,2023-09-09,1,1,1
falta agua potable en varias casas.,Pereira,1861,Laura,,,Medio Ambiente,No urgente,2024-01-02,0,1,1
falta agua potable en varias casas.,Cúcuta,1862,Jorge,60.0,Otro,Seguridad,Urgente,2024-03-20,0,0,0
queremos más presencia policial.,Cali,1863,Valentina,71.0,F,Seguridad,Urgente,2023-11-13,0,0,0
falta agua potable en varias casas.,Bogotá,1864,María,38.0,M,Educación,No urgente,2024-05-22,0,0,1
no hay suficientes escuelas públicas.,Cali,1865,Valentina,26.0,Otro,Educación,No urgente,2023-12-15,1,0,1
queremos más presencia policial.,Cali,1866,Pedro,63.0,M,Seguridad,Urgente,2024-02-04,0,1,1
faltan médicos en el centro de salud.,Pereira,1867,Valentina,66.0,Otro,Seguridad,No urgente,2023-05-08,0,0,0
las basuras no se recogen a tiempo.,Manizales,1868,Ana,41.0,M,Salud,Urgente,2024-02-08,0,0,0
las calles están muy oscuras y peligrosas.,Cartagena,1869,Sofía,49.0,M,Seguridad,Urgente,2023-01-28,1,1,0
faltan médicos en el centro de salud.,Santa Marta,1870,María,40.0,Otro,Salud,No urgente,2024-01-09,0,0,0
las calles están muy oscuras y peligrosas.,Cali,1871,Pedro,41.0,Otro,Seguridad,Urgente,2024-08-11,1,1,1
falta agua potable en varias casas.,Bucaramanga,1872,Carlos,71.0,Otro,Medio Ambiente,Urgente,2023-06-18,1,1,0
las basuras no se recogen a tiempo.,Cúcuta,1873,Camilo,80.0,Otro,Salud,No urgente,2023-12-21,0,1,0
queremos más presencia policial.,Cali,1874,Camilo,67.0,Otro,Salud,No urgente,2024-06-06,0,0,0
hay problemas con la recolección de basura.,Bucaramanga,1875,Sofía,21.0,F,Salud,No urgente,2023-01-29,0,0,1
no tenemos centros culturales ni bibliotecas.,Bogotá,1876,Camilo,,F,Educación,No urgente,2023-01-25,0,0,1
no tenemos centros culturales ni bibliotecas.,Santa Marta,1877,Juan,,Otro,Salud,No urgente,2024-03-28,1,0,0
queremos más presencia policial.,Bucaramanga,1878,Sofía,21.0,Otro,Educación,Urgente,2023-11-08,0,1,0
queremos más presencia policial.,Santa Marta,1879,Carlos,64.0,Otro,Salud,Urgente,2024-10-29,1,0,1
no hay suficientes escuelas públicas.,Medellín,1880,Jorge,54.0,M,Medio Ambiente,No urgente,2023-03-22,0,1,0
no tenemos centros culturales ni bibliotecas.,Bucaramanga,1881,Camilo,25.0,M,Educación,No urgente,2024-10-18,1,0,1
,Bucaramanga,1882,Carlos,,F,Educación,No urgente,2024-01-22,1,0,0
queremos más presencia policial.,Bucaramanga,1883,Laura,65.0,F,Seguridad,Urgente,2024-10-22,1,0,1
hay problemas con la recolección de basura.,Bucaramanga,1884,Ana,75.0,Otro,Seguridad,Urgente,2023-02-21,1,0,1
necesitamos más acceso a internet en la zona.,Cúcuta,1885,Sofía,19.0,F,Medio Ambiente,No urgente,2024-01-29,0,1,1
queremos más presencia policial.,Cali,1886,Camilo,77.0,Otro,Seguridad,No urgente,2023-12-22,1,1,1
hay problemas con la recolección de basura.,Bogotá,1887,Juan,53.0,F,Seguridad,No urgente,2024-02-05,1,0,0
las basuras no se recogen a tiempo.,Bucaramanga,1888,Ana,76.0,M,Medio Ambiente,No urgente,2024-10-27,0,0,1
las basuras no se recogen a tiempo.,Manizales,1889,Ana,45.0,,Medio Ambiente,Urgente,2024-08-31,0,1,1
,Pereira,1890,Camilo,75.0,Otro,Educación,Urgente,2024-01-03,1,1,1
la contaminación del río está aumentando.,Barranquilla,1891,Carlos,30.0,M,Salud,No urgente,2024-03-31,1,0,1
las basuras no se recogen a tiempo.,Bucaramanga,1892,Carlos,,F,Salud,Urgente,2024-06-01,1,0,1
no hay suficientes escuelas públicas.,Cúcuta,1893,Ana,23.0,Otro,Educación,Urgente,2024-10-11,0,1,1
la contaminación del río está aumentando.,Pereira,1894,Jorge,36.0,F,Seguridad,Urgente,2023-11-04,1,1,0
no tenemos centros culturales ni bibliotecas.,Barranquilla,1895,Ana,67.0,F,Medio Ambiente,No urgente,2023-09-22,0,0,0
,Bucaramanga,1896,Juan,56.0,M,Salud,No urgente,2023-02-19,1,0,0
no hay suficientes escuelas públicas.,Barranquilla,1897,Valentina,73.0,F,Educación,Urgente,2024-08-22,1,0,1
las basuras no se recogen a tiempo.,Manizales,1898,Juan,42.0,Otro,Seguridad,Urgente,2023-07-08,0,1,1
no hay suficientes escuelas públicas.,Pereira,1899,María,45.0,Otro,Salud,No urgente,2023-12-04,1,0,0
falta agua potable en varias casas.,Medellín,1900,Laura,54.0,Otro,Medio Ambiente,No urgente,2023-09-19,1,1,1
las calles están muy oscuras y peligrosas.,Medellín,1901,Sofía,67.0,Otro,Educación,Urgente,2023-10-26,1,0,1
la contaminación del río está aumentando.,Bogotá,1902,María,18.0,M,Educación,Urgente,2024-08-23,1,0,1
no tenemos centros culturales ni bibliotecas.,Barranquilla,1903,Pedro,29.0,Otro,Medio Ambiente,No urgente,2023-09-01,0,1,0
hay problemas con la recolección de basura.,Barranquilla,1904,Jorge,19.0,M,Salud,No urgente,2023-05-02,1,1,1
no hay suficientes escuelas públicas.,Medellín,1905,María,57.0,M,Educación,Urgente,2023-08-21,0,0,0
faltan médicos en el centro de salud.,Barranquilla,1906,Juan,,F,Seguridad,Urgente,2023-11-29,1,0,0
falta agua potable en varias casas.,Santa Marta,1907,Sofía,69.0,M,Salud,No urgente,2024-09-29,0,0,1
las calles están muy oscuras y peligrosas.,Bucaramanga,1908,Ana,27.0,Otro,Educación,No urgente,2024-02-27,0,1,1
necesitamos más acceso a internet en la zona.,Manizales,1909,Valentina,55.0,M,Seguridad,No urgente,2023-07-05,1,1,1
no hay suficientes escuelas públicas.,Santa Marta,1910,Valentina,26.0,M,Educación,No urgente,2023-12-30,0,0,0
faltan médicos en el centro de salud.,Pereira,1911,Valentina,76.0,M,Salud,No urgente,2024-01-13,0,1,0
la contaminación del río está aumentando.,Cali,1912,Jorge,35.0,Otro,Medio Ambiente,No urgente,2024-01-06,0,1,1
la contaminación del río está aumentando.,Cartagena,1913,Juan,18.0,F,Seguridad,Urgente,2023-06-12,1,0,0
falta agua potable en varias casas.,Santa Marta,1914,María,32.0,M,Educación,Urgente,2024-04-29,1,1,0
la contaminación del río está aumentando.,Manizales,1915,Laura,19.0,F,Educación,No urgente,2023-07-02,0,0,0
falta agua potable en varias casas.,Cúcuta,1916,Valentina,59.0,F,Seguridad,No urgente,2023-12-15,0,0,1
,Manizales,1917,Ana,56.0,Otro,Educación,Urgente,2024-02-02,0,0,0
las basuras no se recogen a tiempo.,Cúcuta,1918,Ana,47.0,F,Educación,Urgente,2023-04-27,0,1,0
hay problemas con la recolección de basura.,Bucaramanga,1919,Carlos,40.0,F,Educación,No urgente,2024-04-15,1,1,0
faltan médicos en el centro de salud.,Bogotá,1920,Ana,20.0,F,Medio Ambiente,No urgente,2024-04-20,1,1,0
las basuras no se recogen a tiempo.,Cúcuta,1921,Carlos,32.0,Otro,Seguridad,No urgente,2023-03-04,1,1,1
hay problemas con la recolección de basura.,Cartagena,1922,Valentina,62.0,Otro,Medio Ambiente,No urgente,2024-11-28,0,0,0
las basuras no se recogen a tiempo.,Medellín,1923,Juan,43.0,M,Seguridad,No urgente,2024-11-12,1,1,1
las calles están muy oscuras y peligrosas.,Medellín,1924,Valentina,18.0,Otro,Salud,No urgente,2023-07-19,0,1,0
faltan médicos en el centro de salud.,Santa Marta,1925,Ana,,Otro,Educación,Urgente,2024-09-03,0,1,0
queremos más presencia policial.,Cali,1926,Camilo,16.0,F,Seguridad,Urgente,2023-09-22,0,1,1
no tenemos centros culturales ni bibliotecas.,Cúcuta,1927,Sofía,53.0,F,Educación,Urgente,2024-03-27,0,1,1
las calles están muy oscuras y peligrosas.,Barranquilla,1928,María,31.0,Otro,Seguridad,No urgente,2023-12-02,1,1,0
las calles están muy oscuras y peligrosas.,Cúcuta,1929,Ana,77.0,Otro,Seguridad,No urgente,2024-05-21,1,0,0
faltan médicos en el centro de salud.,Manizales,1930,Jorge,22.0,Otro,Medio Ambiente,Urgente,2024-02-02,1,0,1
necesitamos más acceso a internet en la zona.,Barranquilla,1931,Jorge,42.0,M,Salud,No urgente,2023-11-14,1,0,1
necesitamos más acceso a internet en la zona.,Manizales,1932,Pedro,19.0,M,Educación,Urgente,2024-04-27,1,1,1
hay problemas con la recolección de basura.,Medellín,1933,Juan,44.0,F,Medio Ambiente,No urgente,2023-07-05,1,1,1
la contaminación del río está aumentando.,Cali,1934,Sofía,71.0,,Medio Ambiente,No urgente,2023-07-29,0,0,1
faltan médicos en el centro de salud.,Cúcuta,1935,Camilo,39.0,F,Seguridad,No urgente,2024-10-08,1,1,0
faltan médicos en el centro de salud.,Cali,1936,Juan,41.0,F,Educación,No urgente,2024-09-08,0,1,0
hay problemas con la recolección de basura.,Cali,1937,Pedro,30.0,M,Educación,No urgente,2023-09-27,1,1,0
la contaminación del río está aumentando.,Barranquilla,1938,Sofía,76.0,Otro,Medio Ambiente,Urgente,2023-03-11,0,0,1
no tenemos centros culturales ni bibliotecas.,Cúcuta,1939,Carlos,60.0,Otro,Seguridad,Urgente,2023-09-24,1,0,1
necesitamos más acceso a internet en la zona.,Cúcuta,1940,Ana,32.0,F,Salud,No urgente,2023-05-28,0,0,1
falta agua potable en varias casas.,Santa Marta,1941,Pedro,39.0,F,Seguridad,No urgente,2024-04-25,0,0,1
la contaminación del río está aumentando.,Bogotá,1942,Laura,69.0,F,Medio Ambiente,Urgente,2024-01-26,1,0,1
